ARID3A.bed.gz   ARID3A
ATF3.bed.gz     ATF3
ATF7.bed.gz     ATF7
CEBPB.bed.gz    CEBPB
CREB1.bed.gz    CREB1
CTCF.bed.gz     CTCF
E2F1.bed.gz     E2F1
E2F6.bed.gz     E2F6
EGR1.bed.gz     EGR1
FOXA1.bed.gz    FOXA1
FOXA2.bed.gz    FOXA2
GABPA.bed.gz    GABPA
GATA3.bed.gz    GATA3
HNF4A.bed.gz    HNF4A
JUND.bed.gz     JUND
MAFK.bed.gz     MAFK
MAX.bed.gz      MAX
MYC.bed.gz      MYC
NANOG.bed.gz    NANOG
REST.bed.gz     REST
RFX5.bed.gz     RFX5
SPI1.bed.gz     SPI1
SRF.bed.gz      SRF
STAT3.bed.gz    STAT3
TCF12.bed.gz    TCF12
TCF7L2.bed.gz   TCF7L2
TEAD4.bed.gz    TEAD4
YY1.bed.gz      YY1
ZNF143.bed.gz   ZNF143
